Timestamp,Team Name,Team Captain Discord Handle,Choose your map preferences [The Reef],Choose your map preferences [Musselforge Fitness],Choose your map preferences [Starfish Mainstage],Choose your map preferences [Humpback Pump Track],Choose your map preferences [Inkblot Art Academy],Choose your map preferences [Moray Towers],Choose your map preferences [Port Mackerel],Choose your map preferences [Sturgeon Shipyard],Choose your map preferences [Manta Maria],Choose your map preferences [Kelp Dome],Choose your map preferences [Snapper Canal],Choose your map preferences [Blackbelly Skatepark],Choose your map preferences [MakoMart],Choose your map preferences [Walleye Warehouse],Choose your map preferences [Shellendorf Institute],Choose your map preferences [Arowana Mall],Choose your map preferences [Goby Arena],Choose your map preferences [Piranha Pit],Strike a ranked mode (optional),Do you prefer to play Splat Zones only?,Would you like Turf War to be included in your map lists along other modes?,Team Captain's Nintendo Switch Friend Code,Choose your map preferences [Camp Triggerfish]
5/7/2018 17:30,Team Olive,Sendou#0043,Neutral,Neutral,Not preferred,Neutral,Preferred,Preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Rainmaker,No,No,0109-3838-9398,Not preferred
5/7/2018 19:30,Raging Ink,Memomonkey567#3617,Neutral,Neutral,Not preferred,Preferred,Preferred,Preferred,Not preferred,Not preferred,Not preferred,Not preferred,Not preferred,Preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clam Blitz,No,Yes,4571-6222-9333,Neutral
5/7/2018 21:57,Spanish Army,SaJ0rd1#4378,Not preferred,Not preferred,Not preferred,Neutral,Not preferred,Not preferred,Preferred,Not preferred,Neutral,Neutral,Not preferred,Preferred,Neutral,Preferred,Not preferred,Preferred,Preferred,Preferred,Clam Blitz,Yes,No,2489-8166-1112,Preferred
5/7/2018 23:24,CrossInk,Hypnos.#7155,Not preferred,Not preferred,Neutral,Preferred,Neutral,Not preferred,Preferred,Not preferred,Not preferred,Neutral,Not preferred,Preferred,Not preferred,Preferred,Not preferred,Preferred,Preferred,Preferred,Clam Blitz,No,No,7431-1514-4721,Preferred
5/8/2018 1:39,Pandora,Kaito#1051 ,Preferred,Preferred,Neutral,Preferred,Preferred,Not preferred,Not preferred,Preferred,Preferred,Preferred,Preferred,Neutral,Preferred,Preferred,Preferred,Preferred,Preferred,Preferred,,No,No,3231-4248-7525,Preferred
5/8/2018 3:55,Mörder Squid,MS√Edward∞#9909,Preferred,Preferred,Neutral,Preferred,Preferred,Preferred,Preferred,Neutral,Preferred,Neutral,Neutral,Preferred,Preferred,Preferred,Not preferred,Not preferred,Neutral,Neutral,Clam Blitz,No,Yes,7565-1132-0044,Not preferred
5/8/2018 6:35,Seafood Sorbet,Primopolitan#2917,Preferred,Neutral,Not preferred,Preferred,Preferred,Not preferred,Not preferred,Neutral,Neutral,Neutral,Neutral,Neutral,Preferred,Not preferred,Not preferred,Neutral,Neutral,Preferred,Clam Blitz,No,No,6334-7665-4311,Neutral
,TOMO,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,No,No,,Neutral
,Prophecy,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,No,No,,Neutral
,OverFlow,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,No,No,,Neutral
